Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,Male,No,0,Graduate,No,5849,0,146,360,1,Urban,Y
LP001003,Male,Yes,1,Graduate,No,4583,1508,128,360,1,Rural,N
LP001005,Male,Yes,0,Graduate,Yes,3000,0,66,360,1,Urban,Y
LP001006,Male,Yes,0,Not Graduate,No,2583,2358,120,360,1,Urban,Y
LP001008,Male,No,0,Graduate,No,6000,0,141,360,1,Urban,Y
LP001011,Male,Yes,2,Graduate,Yes,5417,4196,267,360,1,Urban,Y
LP001013,Male,Yes,0,Not Graduate,No,2333,1516,95,360,1,Urban,Y
LP001014,Male,Yes,3+,Graduate,No,3036,2504,158,360,0,Semiurban,N
LP001018,Male,Yes,2,Graduate,No,4006,1526,168,360,1,Urban,Y
LP001020,Male,Yes,1,Not Graduate,No,12841,10968,349,360,1,Urban,N
LP001024,Male,Yes,2,Graduate,No,3200,700,70,360,1,Urban,Y
LP001027,Female,Yes,0,Graduate,No,2500,1840,109,360,1,Semiurban,Y
LP001028,Male,Yes,2,Graduate,No,3073,8106,200,360,1,Urban,Y
LP001029,Male,No,0,Graduate,Yes,1853,2840,114,360,1,Rural,N
LP001030,Male,Yes,2,Graduate,No,1299,1086,17,120,1,Semiurban,Y
LP001031,Female,Yes,1,Graduate,Yes,4950,0,125,360,1,Urban,Y
LP001032,Male,Yes,2,Graduate,No,3596,0,100,360,1,Semiurban,Y
LP001034,Male,No,0,Graduate,No,3510,0,76,360,0,Urban,N
LP001036,Female,No,0,Not Graduate,Yes,4887,0,133,360,1,Rural,Y
LP001038,Male,Yes,3+,Graduate,No,2600,3500,180,360,1,Semiurban,Y
LP001041,Male,No,0,Graduate,No,7660,0,187,360,1,Urban,N
LP001043,Female,Yes,1,Graduate,No,5955,5625,315,360,1,Rural,Y
LP001046,Male,Yes,0,Not Graduate,No,2600,1911,116,360,0,Semiurban,N
LP001047,Male,No,0,Graduate,No,3365,1917,110,360,1,Semiurban,Y
LP001050,Male,Yes,3+,Graduate,No,3717,2925,151,360,1,Urban,Y
LP001052,Female,No,0,Graduate,No,9560,0,178,360,1,Urban,Y
LP001066,Female,Yes,0,Graduate,No,2799,2253,154,360,1,Rural,Y
LP001068,Male,Yes,1,Graduate,No,4226,1040,124,360,1,Semiurban,Y
LP001073,Male,No,0,Graduate,No,1442,6260,100,360,0,Urban,N
LP001086,Female,Yes,1,Graduate,No,3750,2083,120,360,1,Semiurban,Y
LP001087,Male,Yes,0,Not Graduate,Yes,4166,600,116,360,1,Rural,Y
LP001094,Male,Yes,0,Graduate,No,3167,2283,150,360,1,Semiurban,Y
LP001096,Male,Yes,1,Graduate,No,4692,0,106,360,1,Urban,Y
LP001099,Female,Yes,0,Graduate,No,3500,0,114,360,1,Rural,Y
LP001105,Male,Yes,2,Graduate,No,2400,3800,180,360,1,Semiurban,Y
LP001107,Male,Yes,1,Graduate,Yes,3400,0,75,360,1,Urban,Y
LP001108,Female,No,0,Graduate,No,1677,0,100,360,0,Rural,N
LP001112,Male,Yes,2,Graduate,No,1516,1516,97,360,1,Semiurban,Y
LP001114,Male,Yes,2,Graduate,Yes,1400,2000,120,360,1,Rural,Y
LP001116,Male,No,0,Not Graduate,No,3988,0,110,360,1,Urban,Y
LP001119,Male,Yes,3+,Graduate,No,2366,2531,148,360,1,Semiurban,Y
LP001120,Female,No,0,Graduate,No,3120,0,160,360,0,Rural,N
LP001127,Female,Yes,0,Graduate,No,4000,1500,128,360,1,Urban,Y
LP001131,Male,Yes,3+,Not Graduate,No,3762,1666,132,360,1,Semiurban,Y
LP001136,Male,No,0,Graduate,Yes,2400,0,75,360,1,Urban,Y
LP001137,Male,No,0,Graduate,No,3400,2500,150,360,1,Rural,Y
LP001138,Female,No,0,Graduate,No,3600,0,90,360,1,Semiurban,Y
LP001144,Male,Yes,2,Graduate,No,3941,2336,159,360,1,Urban,Y
